iso3,country,year,women_leadership_pct
ARG,Argentina,2024,42.4124513618677
AUS,Australia,2024,38.0
BLR,Belarus,2024,33.6363636363636
BRA,Brazil,2024,17.5438596491228
CAN,Canada,2024,30.6547619047619
CHN,China,2024,26.5367819952973
DEU,Germany,2024,35.3260869565217
IND,India,2024,13.6531365313653
IRN,"Iran, Islamic Rep.",2024,4.82758620689655
ITA,Italy,2024,32.25
JPN,Japan,2024,15.6989247311828
KEN,Kenya,2024,23.2758620689655
NOR,Norway,2024,44.3786982248521
ZAF,South Africa,2024,44.702842377261
ESP,Spain,2024,44.2857142857143
SWE,Sweden,2024,46.7048710601719
